id,n_victimas,fecha,aaaa,mm,dd,hora,hh,lugar_del_hecho,tipo_de_calle,calle,altura,cruce,dirección normalizada,comuna,xy (caba),pos x,pos y,participantes,victima,acusado
2020-0071,1,2020-12-17,2020,12,17,23:00:00,23,san pedrito av. y directorio av.,avenida,san pedrito av.,sd,directorio av.,san pedrito av. y directorio av.,7,point (99615.63172945 99306.93173343),-58.46749188,-34.63551751,peaton-auto,peaton,auto
2020-0072,1,2020-12-19,2020,12,19,03:30:00,3,"jujuy av. y carlos, calvo",avenida,jujuy av.,sd,"calvo, carlos","jujuy av. y calvo, carlos",3,point (105547.81747951 100901.07129086),-58.40280471,-34.62113271,bicicleta-auto,bicicleta,auto
2020-0073,1,2020-12-20,2020,12,20,07:40:00,7,27 de febrero av. y escalada av.,avenida,27 de febrero av.,sd,escalada av.,27 de febrero av. y escalada av.,8,point (101721.59002217 93844.25656649),-58.44451316,-34.68475866,moto-objeto fijo,moto,objeto fijo
2020-0074,1,2020-12-20,2020,12,20,21:00:00,21,bogota y nazca av.,avenida,bogota,sd,nazca av.,bogota y nazca av.,7,point (99284.33566289 100204.74520997),-58.47110424,-34.62742408,auto-auto,auto,auto
2020-0075,1,2020-12-23,2020,12,23,14:00:00,14,corrientes av. y 9 de julio av.,avenida,corrientes av.,sd,9 de julio av.,corrientes av. y 9 de julio av.,1,point (107438.10136119 102829.30417800),-58.38220928,-34.60373898,peaton-pasajeros,peaton,pasajeros
2020-0076,1,2020-12-24,2020,12,24,12:30:00,12,alvarez jonte av. y chivilcoy,avenida,alvarez jonte av.,sd,chivilcoy,alvarez jonte av. y chivilcoy,10,point (96822.61133430 101510.32578499),-58.49794468,-34.61565025,auto-pasajeros,auto,pasajeros
2020-0077,2,2020-12-25,2020,12,25,06:40:00,6,san martin av. y punta arenas,avenida,san martin av.,sd,punta arenas,san martin av. y punta arenas,15,point (99182.71320106 103123.43585183),-58.47220945,-34.60111373,moto-auto,moto,auto
2020-0078,1,2020-12-25,2020,12,25,05:50:00,5,barco centenera del 1118,calle,barco centenera del,1118.0,sd,barco centenera del 1118,7,point (102405.37940842 99677.09327308),-58.43706741,-34.63217813,bicicleta-pasajeros,bicicleta,pasajeros
2020-0079,1,2020-12-27,2020,12,27,04:15:00,4,"paz, gral. av. y acceso norte - panamericana",gral paz,"paz, gral. av.",sd,"goyeneche, roberto parque av.","paz, gral. av. y goyeneche, roberto parque av.",12,point (97243.88021302 108974.21974638),-58.49332664,-34.54836855,moto-objeto fijo,moto,objeto fijo
2021-0001,1,2021-01-06,2021,1,6,18:00:00,18,au frondizi km. 3,autopista,autopista 1 sur presidente arturo frondizi,sd,sd,au frondizi km. 3,1,point (107674.71781880 100334.26713627),-58.37960727,-34.62622851,moto-auto,moto,auto
2021-0002,1,2021-01-07,2021,1,7,10:20:00,10,"castro, emilio av. y murguiondo",avenida,"castro, emilio av.",sd,murguiondo,"castro, emilio av. y murguiondo",9,point (95662.77651946 97729.83483715),-58.51061062,-34.64972472,moto-cargas,moto,cargas
2021-0003,1,2021-01-10,2021,1,10,07:40:00,7,"au 25 de mayo km. 3,7",autopista,autopista 25 de mayo,sd,sd,autopista 25 de mayo km. 3.7,7,point (103005.63484321 99983.28177809),-58.43052224,-34.62941648,moto-objeto fijo,moto,objeto fijo
2021-0004,1,2021-01-11,2021,1,11,09:12:18,9,caseros av. y guarani,avenida,caseros av.,sd,guarani,caseros av. y guarani,5,point (104469.26511938 98956.35144845),-58.41455544,-34.63866836,peaton-cargas,peaton,cargas
2021-0005,1,2021-01-11,2021,1,11,21:30:00,21,"peron, eva av. 3800",avenida,"peron, eva av.",3800.0,sd,"peron, eva av. 3800",9,point (99592.54465207 97999.69053974),-58.46774439,-34.64730145,peaton-auto,peaton,auto
2021-0006,1,2021-01-12,2021,1,12,21:00:00,21,au illia y sarmiento av.,autopista,autopista arturo illia,sd,sarmiento av.,autopista arturo illia y sarmiento av.,14,point (105087.20771949 106876.69794004),-58.40786274,-34.56726817,moto-cargas,moto,cargas
2021-0007,1,2021-01-18,2021,1,18,10:00:00,10,de los constituyentes av. y giribone,avenida,de los constituyentes av.,sd,giribone,de los constituyentes av. y giribone,15,point (97784.94977398 104775.10084109),-58.48744301,-34.58622275,moto-moto,moto,moto
2021-0008,1,2021-01-22,2021,1,22,23:30:00,23,"saenz av. y rabanal, francisco, intendente av.",avenida,saenz av.,sd,"rabanal, francisco, intendente av.","saenz av. y rabanal, francisco, intendente av.",4,point (104283.01090451 97171.08656182),-58.41657793,-34.65476216,peaton-pasajeros,peaton,pasajeros
2021-0009,1,2021-01-23,2021,1,23,05:30:00,5,paysandu y gaona,avenida,paysandu,sd,gaona av.,paysandu y gaona av.,6,point (100897.78829476 101987.96413026),-58.45351111,-34.61134937,moto-objeto fijo,moto,objeto fijo
2021-0010,1,2021-01-23,2021,1,23,08:00:00,8,"paz, gral. av. y balbin, ricardo, dr. av. ",gral paz,"paz, gral. av.",sd,"balbin, ricardo, dr. av.","paz, gral. av. y balbin, ricardo, dr. av.",12,point (96563.66494817 108815.73881056),-58.50073810,-34.54979510,moto-auto,moto,auto
2021-0011,1,2021-01-27,2021,1,27,01:04:26,1,santa fe av. 1675,avenida,santa fe av.,1675.0,sd,santa fe av. 1675,2,point (106591.90146932 103727.42053338),-58.39144148,-34.59564871,peaton-auto,peaton,auto
2021-0012,1,2021-01-29,2021,1,29,20:07:22,20,au dellepiane y guamini,autopista,"dellepiane, luis, tte. gral.",sd,guamini,"dellepiane, luis, tte. gral. y guamini",8,point (98294.52407931 93943.96825453),-58.48191128,-34.68385968,peaton-auto,peaton,auto
2021-0013,1,2021-01-31,2021,1,31,06:10:00,6,"falcon, ramon l., cnel. y olivera av.",avenida,"falcon, ramon l.,cnel.",sd,olivera av.,"falcon, ramon l.,cnel. y olivera av.",10,point (97801.31825511 99194.93911759),-58.48727942,-34.63652467,moto-objeto fijo,moto,objeto fijo
2021-0014,1,2021-02-02,2021,2,2,00:50:00,0,san martin av. y nogoya,avenida,san martin av.,sd,nogoya,san martin av. y nogoya,15,point (98166.49822882 103491.41769625),-58.48328708,-34.59779521,peaton-auto,peaton,auto
2021-0015,1,2021-02-06,2021,2,6,03:05:00,3,san martin av. y tinogasta,avenida,san martin av.,sd,tinogasta,san martin av. y tinogasta,15,point (97533.67858226 103551.76003520),-58.49018543,-34.59724990,moto-objeto fijo,moto,objeto fijo
2021-0016,1,2021-02-14,2021,2,14,05:50:00,5,"fernandez de la cruz, f., gral. av. y de la torre, lisandro",avenida,"fernandez de la cruz, f., gral. av.",sd,"de la torre, lisandro","fernandez de la cruz, f., gral. av. y de la torre, lisandro",8,point (99175.17507833 93836.79626465),-58.47230127,-34.68482689,auto-objeto fijo,auto,objeto fijo
2021-0017,1,2021-02-17,2021,2,17,04:10:00,4,salta y caseros av.,avenida,salta,sd,caseros av.,salta y caseros av.,1,point (107397.40269295 99729.43717725),-58.38262614,-34.63168269,moto-pasajeros,moto,pasajeros
2021-0018,1,2021-02-20,2021,2,20,19:00:00,19,"jaures, jean y peron, juan domingo, tte. general",calle,"jaures, jean",sd,"peron, juan domingo, tte. general","jaures, jean y peron, juan domingo, tte. general",3,point (104845.36965581 102365.51025993),-58.41047268,-34.60793518,peaton-auto,peaton,auto
2021-0019,1,2021-02-21,2021,2,21,01:20:00,1,"triunvirato av. y larralde, crisologo av.",avenida,triunvirato av.,sd,"larralde, crisologo av.","triunvirato av. y larralde, crisologo av.",12,point (96944.69676081 107291.52292157),-58.49659234,-34.56353635,moto-objeto fijo,moto,objeto fijo
2021-0020,1,2021-02-21,2021,2,21,15:00:00,15,potosi y gascon,calle,potosi,sd,gascon,potosi y gascon,5,point (103546.90832431 102439.67271563),-58.42462955,-34.60727189,peaton-cargas,peaton,cargas
2021-0021,1,2021-02-26,2021,2,26,05:30:00,5,"yrigoyen, hipolito y  24 de noviembre",calle,"yrigoyen, hipolito",sd,24 de noviembre,"yrigoyen, hipolito y 24 de noviembre",3,point (104734.09567654 101930.58983096),-58.41168345,-34.61185625,moto-objeto fijo,moto,objeto fijo
2021-0022,1,2021-02-28,2021,2,28,12:00:00,12,del libertador av. y roosevelt franklin d.,avenida,del libertador av.,sd,roosevelt franklin d.,del libertador av. y roosevelt franklin d.,13,point (101075.92147827 108552.55000854),-58.45157681,-34.55217303,pasajeros-sd,pasajeros,sd
2021-0023,1,2021-03-01,2021,3,1,09:20:00,9,"au buenos aires la plata  km 4,5",autopista,autopista buenos aires - la plata,sd,sd,sd,4,point (. .),.,.,moto-cargas,moto,cargas
2021-0024,1,2021-03-03,2021,3,3,16:30:00,16,"peron, eva av. y piedra buena av",avenida,"peron, eva av.",sd,piedra buena av.,"peron, eva av. y piedra buena av.",9,point (97027.10745715 95474.44134863),-58.49573651,-34.67006054,bicicleta-cargas,bicicleta,cargas
2021-0025,1,2021-03-11,2021,3,11,03:45:00,3,"paz, gral. av. y dellepiane, luis, tte. gral",gral paz,"paz, gral. av.",sd,autopista dellepiane luis tte. gral.,"paz, gral. av. y autopista dellepiane luis tte. gral.",8,point (97832.57143731 93489.83736533),-58.48695354,-34.68795245,moto-otro,moto,otro
2021-0026,1,2021-03-15,2021,3,15,02:35:00,2,"au frondizi altura quinquela martin, benito",autopista,autopista 1 sur presidente arturo frondizi,sd,sd,"autopista 1 sur presidente arturo frondizi y quinquela martin, benito",4,point (108038.11136985 98307.74373426),-58.37562539,-34.64449357,moto-objeto fijo,moto,objeto fijo
2021-0027,1,2021-03-16,2021,3,16,15:30:00,15,"paz, gral. av. y donado",gral paz,"paz, gral. av.",sd,donado,"paz, gral. av. y donado",12,point (97098.48468623 109019.96106626),-58.49491054,-34.54795581,moto-cargas,moto,cargas
2021-0028,1,2021-03-29,2021,3,29,17:20:00,17,"corea av. y torres y tenorio, pres",avenida,corea av.,sd,"torres y tenorio, pres.","corea av. y torres y tenorio, pres.",7,point (102000.84898999 98412.66166222),-58.44147621,-34.64357704,peaton-pasajeros,peaton,pasajeros
2021-0029,1,2021-03-31,2021,3,31,18:05:00,18,"falcon, ramon l., cnel. y san pedrito av.",avenida,"falcon, ramon l.,cnel.",sd,san pedrito av.,"falcon, ramon l.,cnel. y san pedrito av.",7,point (99478.13530470 99680.01615001),-58.46899119,-34.63215432,auto-auto,auto,auto
